Date,Prix,Balance,Action,Reward
2025-01-04 03:00:00,2.4657,1000,0,[0.]
2025-01-04 04:00:00,2.4506,1000,0,[0.]
2025-01-04 05:00:00,2.4544,1000,0,[0.]
2025-01-04 06:00:00,2.4556,1000,0,[0.]
2025-01-04 07:00:00,2.4462,1000,0,[0.]
2025-01-04 08:00:00,2.4329,1000,0,[0.]
2025-01-04 09:00:00,2.4464,1000,0,[0.]
2025-01-04 10:00:00,2.4393,1000,0,[0.]
2025-01-04 11:00:00,2.4407,1000,0,[0.]
2025-01-04 12:00:00,2.45,1000,0,[0.]
2025-01-04 13:00:00,2.4541,1000,0,[0.]
2025-01-04 14:00:00,2.4583,1000,0,[0.]
2025-01-04 15:00:00,2.4115,1000,0,[0.]
2025-01-04 16:00:00,2.4196,1000,0,[0.]
2025-01-04 17:00:00,2.427,1000,0,[0.]
2025-01-04 18:00:00,2.4198,1000,0,[0.]
2025-01-04 19:00:00,2.4234,1000,0,[0.]
2025-01-04 20:00:00,2.4348,1000,0,[0.]
2025-01-04 21:00:00,2.4241,1000,0,[0.]
2025-01-04 22:00:00,2.4294,1000,0,[0.]
2025-01-04 23:00:00,2.4201,1000,0,[0.]
2025-01-05 00:00:00,2.4085,1000,0,[0.]
2025-01-05 01:00:00,2.3886,1000,0,[0.]
2025-01-05 02:00:00,2.3929,1000,0,[0.]
2025-01-05 03:00:00,2.3903,1000,0,[0.]
2025-01-05 04:00:00,2.4012,1000,0,[0.]
2025-01-05 05:00:00,2.3954,1000,0,[0.]
2025-01-05 06:00:00,2.4072,1000,0,[0.]
2025-01-05 07:00:00,2.4006,1000,0,[0.]
2025-01-05 08:00:00,2.3823,1000,1,[-0.005]
2025-01-05 09:00:00,2.3493,1000,0,[0.]
2025-01-05 10:00:00,2.3415,1000,0,[0.]
2025-01-05 11:00:00,2.3527,1000,0,[0.]
2025-01-05 12:00:00,2.3589,1000,0,[0.]
2025-01-05 13:00:00,2.3665,1000,0,[0.]
2025-01-05 14:00:00,2.3753,1000,0,[0.]
2025-01-05 15:00:00,2.3683,1000,0,[0.]
2025-01-05 16:00:00,2.3667,1000,0,[0.]
2025-01-05 17:00:00,2.3795,1000,0,[0.]
2025-01-05 18:00:00,2.403,1000,0,[0.]
2025-01-05 19:00:00,2.3837,1000,0,[0.]
2025-01-05 20:00:00,2.3976,1000,0,[0.]
2025-01-05 21:00:00,2.3918,1000,0,[0.]
2025-01-05 22:00:00,2.4031,1000,0,[0.]
2025-01-05 23:00:00,2.3994,1000,0,[0.]
2025-01-06 00:00:00,2.3895,1000,0,[0.]
2025-01-06 01:00:00,2.4191,1000,0,[0.]
2025-01-06 02:00:00,2.405,1000,0,[0.]
2025-01-06 03:00:00,2.4121,1000,0,[0.]
2025-01-06 04:00:00,2.4163,1000,0,[0.]
2025-01-06 05:00:00,2.4043,1000,0,[0.]
2025-01-06 06:00:00,2.412,1000,0,[0.]
2025-01-06 07:00:00,2.3927,1000,0,[0.]
2025-01-06 08:00:00,2.3797,1000,0,[0.]
2025-01-06 09:00:00,2.3858,1000,0,[0.]
2025-01-06 10:00:00,2.3869,1000,0,[0.]
2025-01-06 11:00:00,2.3959,1000,0,[0.]
2025-01-06 12:00:00,2.392,1000,0,[0.]
2025-01-06 13:00:00,2.399,1000,0,[0.]
2025-01-06 14:00:00,2.4288,1000,0,[0.]
2025-01-06 15:00:00,2.4363,1000,0,[0.]
2025-01-06 16:00:00,2.4442,1000,0,[0.]
2025-01-06 17:00:00,2.4165,1000,0,[0.]
2025-01-06 18:00:00,2.4262,1000,0,[0.]
2025-01-06 19:00:00,2.4249,1000,0,[0.]
2025-01-06 20:00:00,2.4196,1000,0,[0.]
2025-01-06 21:00:00,2.413,1000,0,[0.]
2025-01-06 22:00:00,2.4214,1000,0,[0.]
2025-01-06 23:00:00,2.42,1000,0,[0.]
2025-01-07 00:00:00,2.407,1000,0,[0.]
2025-01-07 01:00:00,2.4145,1000,0,[0.]
2025-01-07 02:00:00,2.3944,1000,0,[0.]
2025-01-07 03:00:00,2.4048,1000,0,[0.]
2025-01-07 04:00:00,2.4064,1000,0,[0.]
2025-01-07 05:00:00,2.4309,1000,0,[0.]
2025-01-07 06:00:00,2.4464,1000,0,[0.]
2025-01-07 07:00:00,2.4275,1000,0,[0.]
2025-01-07 08:00:00,2.4417,1000,0,[0.]
2025-01-07 09:00:00,2.4477,1000,0,[0.]
2025-01-07 10:00:00,2.4565,1000,0,[0.]
2025-01-07 11:00:00,2.422,1000,0,[0.]
2025-01-07 12:00:00,2.4138,1077.542718737943,2,[0.17254272]
2025-01-07 13:00:00,2.4257,1077.542718737943,0,[0.]
2025-01-07 14:00:00,2.3943,1077.542718737943,1,[-0.005]
2025-01-07 15:00:00,2.3139,1077.542718737943,0,[0.]
2025-01-07 16:00:00,2.3123,1077.542718737943,0,[0.]
2025-01-07 17:00:00,2.3015,1077.542718737943,0,[0.]
2025-01-07 18:00:00,2.2949,1077.542718737943,0,[0.]
2025-01-07 19:00:00,2.2827,1077.542718737943,0,[0.]
2025-01-07 20:00:00,2.2771,1077.542718737943,0,[0.]
2025-01-07 21:00:00,2.2698,1077.542718737943,0,[0.]
2025-01-07 22:00:00,2.2964,1077.542718737943,0,[0.]
2025-01-07 23:00:00,2.2712,1077.542718737943,0,[0.]
2025-01-08 00:00:00,2.3316,1077.542718737943,0,[0.]
2025-01-08 01:00:00,2.3463,1077.542718737943,0,[0.]
2025-01-08 02:00:00,2.3355,1077.542718737943,0,[0.]
